,INSTNM,CITY,ADM_RATE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FAMINC
1223,Big Sandy Community and Technical College,Prestonsburg,,,1639.0,,12474.0,,4560.0,15480.0,,,
1224,Empire Beauty School-Chenoweth,Louisville,,,89.0,,,18899.0,,,,,
1225,Empire Beauty School-Elizabethtown,Elizabethtown,,,106.0,,,20345.0,,,,,
1226,Empire Beauty School-Dixie,Louisville,,,78.0,,,20427.0,,,,,
1227,Empire Beauty School-Florence,Florence,,,95.0,,,19774.0,,,,,
1228,Somerset Community College,Somerset,,,3494.0,,11775.0,,4560.0,15480.0,,,
1229,Southeast Kentucky Community & Technical College,Cumberland,,,1484.0,,11904.0,,4560.0,15480.0,,,
1230,The Southern Baptist Theological Seminary,Louisville,0.8723,1112.0,874.0,,,,12000.0,12000.0,,,
1231,Spalding University,Louisville,0.9764,1013.0,635.0,,42917.0,,27300.0,27300.0,,,
1232,Sullivan University,Louisville,,,1827.0,,30100.0,,14220.0,14220.0,,,
1233,Thomas More University,Crestview Hills,0.9424,1092.0,1420.0,,45868.0,,35810.0,35810.0,,,
1234,Transylvania University,Lexington,0.9079,1250.0,976.0,,57015.0,,43670.0,43670.0,,,
1235,Union College,Barbourville,0.5342,980.0,711.0,,41450.0,,30946.0,30946.0,,,
1236,Western Kentucky University,Bowling Green,0.9695,1088.0,12149.0,,23211.0,,11112.0,27000.0,,,
1237,Central Louisiana Technical Community College,Alexandria,,,902.0,,12076.0,,4099.0,4099.0,,,
1238,Ayers Career College,Shreveport,,,128.0,,,24913.0,,,,,
1239,Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,Baton Rouge,,,110.0,,,,,,,,
1240,Bossier Parish Community College,Bossier City,,,5517.0,,16056.0,,4283.0,4283.0,,,
1241,Centenary College of Louisiana,Shreveport,0.6365,1188.0,511.0,,57199.0,,38820.0,38820.0,,,
1242,Cloyd's Beauty School 1 Inc,West Monroe,,,59.0,,,10095.0,,,,,
1243,Crescent City Bartending School,New Orleans,,,636.0,,,20016.0,,,,,
1244,Delgado Community College,New Orleans,,,11286.0,,13828.0,,4679.0,4679.0,,,
1245,Avery James College,Lake Charles,,,64.0,,,21689.0,,,,,
1246,Denham Springs Beauty School,Denham Springs,,,61.0,,,14711.0,,,,,
1247,Dillard University,New Orleans,0.7989,1082.0,1220.0,,33520.0,,20224.0,20224.0,,,
1248,Nunez Community College,Chalmette,,,1381.0,,17152.0,,4255.0,4255.0,,,
1249,Grambling State University,Grambling,0.4237,938.0,4163.0,,24264.0,,7683.0,16706.0,,,
1250,Guy's Shreveport Academy of Cosmetology Inc,Shreveport,,,43.0,,,25514.0,,,,,
1251,ITI Technical College,Baton Rouge,,,505.0,,23900.0,,11711.0,11711.0,,,
1252,John Jay Beauty College,Kenner,,,98.0,,,10635.0,,,,,
1253,Louisiana State University Health Sciences Center-New Orleans,New Orleans,,,880.0,,,,,,,,
1254,Louisiana State University-Alexandria,Alexandria,0.5767,1019.0,3600.0,,14892.0,,7050.0,14650.0,,,
1255,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,0.7572,1221.0,27729.0,,33322.0,,11954.0,28631.0,,,
1256,Louisiana State University-Eunice,Eunice,,,2535.0,,17375.0,,4730.0,10094.0,,,
1257,Louisiana State University-Shreveport,Shreveport,0.8891,1091.0,2137.0,,18196.0,,7327.0,20481.0,,,
1258,Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,,,183.0,,,27830.0,,,,,
1259,Aveda Arts & Sciences Institute-Lafayette,Lafayette,,,170.0,,,28598.0,,,,,
1260,Louisiana Academy of Beauty,Eunice,,,27.0,,,25095.0,,,,,
1261,Louisiana Christian University,Pineville,0.7461,1085.0,767.0,,28160.0,,19720.0,19720.0,,,
1262,Opelousas School of Cosmetology,Opelousas,,,30.0,,,20655.0,,,,,
1263,Louisiana Tech University,Ruston,0.6237,1190.0,7434.0,,23390.0,,10065.0,16806.0,,,
1264,Loyola University New Orleans,New Orleans,0.7811,,3160.0,,59044.0,,45030.0,45030.0,,,
1265,McNeese State University,Lake Charles,0.7124,1089.0,4928.0,,20355.0,,8440.0,9940.0,,,
1266,University of New Orleans,New Orleans,0.6976,1088.0,4925.0,,22232.0,,9172.0,14008.0,,,
1267,New Orleans Baptist Theological Seminary,New Orleans,,,801.0,,,,10820.0,10820.0,,,
1268,Nicholls State University,Thibodaux,0.9843,1088.0,4808.0,,20961.0,,8156.0,9249.0,,,
1269,University of Louisiana at Monroe,Monroe,0.7011,1132.0,5032.0,,22653.0,,9082.0,21182.0,,,
