,INSTNM,CITY,ADM_RATE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FAMINC
0,Alabama A & M University,Normal,0.684,920.0,5196.0,,23167.0,,10024.0,18634.0,,,
1,University of Alabama at Birmingham,Birmingham,0.8668,1291.0,12776.0,,26257.0,,8832.0,21216.0,,,
2,Amridge University,Montgomery,,,228.0,,,,,,,,
3,University of Alabama in Huntsville,Huntsville,0.781,1259.0,6985.0,,25777.0,,11878.0,24770.0,,,
4,Alabama State University,Montgomery,0.966,963.0,3296.0,,21900.0,,11068.0,19396.0,,,
5,The University of Alabama,Tuscaloosa,0.8006,1304.0,31360.0,,31024.0,,11940.0,32300.0,,,
6,Central Alabama Community College,Alexander City,,,963.0,,14041.0,,4990.0,8740.0,,,
7,Athens State University,Athens,,,2465.0,,,,,,,,
8,Auburn University at Montgomery,Montgomery,0.9223,1051.0,3307.0,,19771.0,,9100.0,19348.0,,,
9,Auburn University,Auburn,0.4374,1292.0,25234.0,,33650.0,,12176.0,32960.0,,,
10,Birmingham-Southern College,Birmingham,0.5717,1218.0,968.0,,35495.0,,21250.0,21250.0,,,
11,Chattahoochee Valley Community College,Phenix City,,,1101.0,,9320.0,,4980.0,8730.0,,,
12,South University-Montgomery,Montgomery,,,315.0,,32195.0,,17014.0,17014.0,,,
13,Enterprise State Community College,Enterprise,,,1359.0,,9452.0,,4920.0,8670.0,,,
14,Coastal Alabama Community College,Bay Minette,,,4809.0,,14446.0,,4920.0,8670.0,,,
15,Faulkner University,Montgomery,0.8241,1021.0,1587.0,,36169.0,,23920.0,23920.0,,,
16,Gadsden State Community College,Gadsden,,,3446.0,,10613.0,,3984.0,6984.0,,,
17,New Beginning College of Cosmetology,Albertville,,,45.0,,,17496.0,,,,,
18,George C Wallace Community College-Dothan,Dothan,,,3069.0,,8592.0,,4860.0,8610.0,,,
19,George C Wallace State Community College-Hanceville,Hanceville,,,4207.0,,15488.0,,4920.0,8670.0,,,
20,George C Wallace State Community College-Selma,Selma,,,856.0,,9195.0,,4620.0,8370.0,,,
21,Herzing University-Birmingham,Birmingham,0.9412,,570.0,,28152.0,,12750.0,12750.0,,,
22,Huntingdon College,Montgomery,0.6595,1086.0,810.0,,39717.0,,28350.0,28350.0,,,
23,Heritage Christian University,Florence,1.0,,72.0,,17810.0,,11632.0,11632.0,,,
24,J. F. Drake State Community and Technical College,Huntsville,,,698.0,,12078.0,,4890.0,8640.0,,,
25,J F Ingram State Technical College,Deatsville,,,768.0,,6084.0,,4860.0,4860.0,,,
26,Jacksonville State University,Jacksonville,0.7846,1055.0,7066.0,,22153.0,,11952.0,21912.0,,,
27,Jefferson State Community College,Birmingham,,,5550.0,,14677.0,,5220.0,8910.0,,,
28,John C Calhoun State Community College,Tanner,,,6549.0,,11532.0,,5000.0,8750.0,,,
29,Lawson State Community College,Birmingham,,,2554.0,,14471.0,,4920.0,8670.0,,,
30,University of West Alabama,Livingston,0.6886,1015.0,2424.0,,22456.0,,10990.0,20090.0,,,
31,Lurleen B Wallace Community College,Andalusia,,,1111.0,,10125.0,,4920.0,8670.0,,,
32,Marion Military Institute,Marion,0.627,,320.0,,18368.0,,9538.0,15538.0,,,
33,Miles College,Fairfield,,,1257.0,,22653.0,,12714.0,12714.0,,,
34,University of Mobile,Mobile,0.8408,1220.0,1108.0,,37908.0,,25880.0,25880.0,,,
35,University of Montevallo,Montevallo,0.5984,,2128.0,,26185.0,,13710.0,26730.0,,,
36,Northwest-Shoals Community College,Muscle Shoals,,,2026.0,,10919.0,,5011.0,8761.0,,,
37,University of North Alabama,Florence,0.9568,,5408.0,,21621.0,,11220.0,21420.0,,,
38,Northeast Alabama Community College,Rainsville,,,1565.0,,9660.0,,4920.0,8670.0,,,
39,Oakwood University,Huntsville,0.6805,,1378.0,,38377.0,,20040.0,20040.0,,,
40,Reid State Technical College,Evergreen,,,281.0,,11482.0,,4950.0,8700.0,,,
41,Bishop State Community College,Mobile,,,1943.0,,11616.0,,4920.0,8670.0,,,
42,Samford University,Birmingham,0.8326,1227.0,3668.0,,52514.0,,36725.0,36725.0,,,
43,Selma University,Selma,,,30.0,,,,4800.0,4800.0,,,
44,Shelton State Community College,Tuscaloosa,,,3257.0,,15065.0,,4980.0,8730.0,,,
45,Snead State Community College,Boaz,,,1494.0,,12800.0,,5408.0,9408.0,,,
46,University of South Alabama,Mobile,0.6536,1118.0,8171.0,,22667.0,,9116.0,17732.0,,,
47,Spring Hill College,Mobile,0.7263,1094.0,932.0,,35488.0,,21732.0,21732.0,,,
48,Stillman College,Tuscaloosa,0.6454,,727.0,,25678.0,,11392.0,11392.0,,,
49,Talladega College,Talladega,,,832.0,,22267.0,,13866.0,13866.0,,,
50,H Councill Trenholm State Community College,Montgomery,,,1599.0,,12688.0,,4830.0,8580.0,,,
51,Troy University,Troy,0.9484,1050.0,10316.0,,22005.0,,9312.0,18624.0,,,
52,Tuskegee University,Tuskegee,0.2969,1091.0,2100.0,,41924.0,,22614.0,22614.0,,,
53,United States Sports Academy,Daphne,1.0,,94.0,,,,16418.0,16418.0,,,
54,Bevill State Community College,Jasper,,,2205.0,,15002.0,,5278.0,9278.0,,,
55,University of Alaska Anchorage,Anchorage,0.6532,,6778.0,,23461.0,,7508.0,21635.0,,,
56,Alaska Bible College,Palmer,,,31.0,,19679.0,,10900.0,10900.0,,,
57,University of Alaska Fairbanks,Fairbanks,,,4010.0,,19814.0,,7896.0,22032.0,,,
58,University of Alaska Southeast,Juneau,0.6266,,964.0,,17471.0,,6960.0,21096.0,,,
59,Alaska Pacific University,Anchorage,0.9931,,457.0,,36422.0,,20760.0,20760.0,,,
60,Alaska Vocational Technical Center,Seward,,,202.0,,,23745.0,,,,,
61,Charter College,Vancouver,,,2117.0,,30947.0,,17116.0,17116.0,,,
62,Alaska Career College,Anchorage,,,268.0,,,22844.0,,,,,
63,Empire Beauty School-Tucson,Tucson,,,184.0,,,20641.0,,,,,
64,Carrington College-Phoenix North,Phoenix,,,1047.0,,,30659.0,,,,,
65,Carrington College-Mesa,Mesa,,,532.0,,,44993.0,,,,,
66,Carrington College-Tucson,Tucson,,,446.0,,,31794.0,,,,,
67,Arizona Academy of Beauty,Tucson,,,34.0,,,20321.0,,,,,
68,Miller-Motte College-Arizona Automotive Institute,Glendale,,,411.0,,,27409.0,,,,,
69,Brookline College-Phoenix,Phoenix,,,841.0,,,39030.0,,,,,
70,Arizona State University Campus Immersion,Tempe,0.8975,,64778.0,,26937.0,,11618.0,30592.0,,,
71,Arizona Western College,Yuma,,,7595.0,,15695.0,,2960.0,9770.0,,,
72,University of Arizona,Tucson,0.8676,1229.0,37979.0,,27682.0,,13275.0,39577.0,,,
73,Central Arizona College,Coolidge,,,4402.0,,11627.0,,1500.0,3000.0,,,
74,Charles of Italy Beauty College,Lake Havasu City,,,85.0,,,16199.0,,,,,
75,Cochise County Community College District,Sierra Vista,,,3032.0,,12971.0,,2184.0,6000.0,,,
76,Empire Beauty School-Chandler,Chandler,,,60.0,,,20240.0,,,,,
77,Avalon Institute-Mesa,Mesa,,,383.0,,,19135.0,,,,,
78,Eastern Arizona College,Thatcher,,,2942.0,,15230.0,,2232.0,9192.0,,,
79,Embry-Riddle Aeronautical University-Prescott,Prescott,0.68,1278.0,3114.0,,58036.0,,40464.0,40464.0,,,
80,The School of Architecture,Paradise Valley,,,,,,,,,,,
81,Glendale Community College,Glendale,,,9807.0,,16231.0,,2070.0,7854.0,,,
82,Grand Canyon University,Phoenix,0.7787,,65147.0,,31440.0,,17800.0,17800.0,,,
83,GateWay Community College,Phoenix,,,3470.0,,17711.0,,2070.0,7854.0,,,
84,Mesa Community College,Mesa,,,11351.0,,17128.0,,2070.0,7854.0,,,
85,Mohave Community College,Kingman,,,2791.0,,11230.0,,2136.0,7008.0,,,
86,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,,,658.0,,,25304.0,,,,,
87,Dine College,Tsaile,,,1361.0,,14048.0,,1410.0,1410.0,,,
88,Northern Arizona University,Flagstaff,0.7999,,23090.0,,28648.0,,12274.0,27536.0,,,
89,Northland Pioneer College,Holbrook,,,1075.0,,15097.0,,2428.0,9851.0,,,
90,Phoenix College,Phoenix,,,6588.0,,16957.0,,2070.0,7854.0,,,
91,Pima Community College,Tucson,,,13328.0,,8742.0,,2298.0,7614.0,,,
92,Pima Medical Institute-Tucson,Tucson,,,2477.0,,,,,,,,
93,Pima Medical Institute-Albuquerque,Albuquerque,,,690.0,,,26586.0,,,,,
94,Prescott College,Prescott,0.9838,,313.0,,45439.0,,35450.0,35450.0,,,
95,Refrigeration School Inc,Phoenix,,,990.0,,,30788.0,,,,,
96,Rio Salado College,Tempe,,,3999.0,,11938.0,,2070.0,7854.0,,,
97,Roberto-Venn School of Luthiery,Phoenix,,,27.0,,,27070.0,,,,,
98,Scottsdale Community College,Scottsdale,,,4245.0,,18529.0,,2070.0,7854.0,,,
99,South Mountain Community College,Phoenix,,,2192.0,,16406.0,,2070.0,7854.0,,,
100,Arizona Christian University,Glendale,0.7014,,1028.0,,47865.0,,31650.0,31650.0,,,
101,Universal Technical Institute of Arizona Inc,Avondale,,,1972.0,,,29601.0,,,,,
102,Yavapai College,Prescott,,,3577.0,,12681.0,,2680.0,9340.0,,,
103,University of Arkansas at Little Rock,Little Rock,0.6146,1089.0,4802.0,,21300.0,,8366.0,18957.0,,,
104,University of Arkansas for Medical Sciences,Little Rock,,,1287.0,,,,,,,,
105,Arkansas Baptist College,Little Rock,,,497.0,,22715.0,,8760.0,8760.0,,,
106,Arkansas Beauty School-Little Rock,Little Rock,,,98.0,,,27731.0,,,,,
107,Arkansas Beauty College,Russellville,,,29.0,,,14957.0,,,,,
108,Lyon College,Batesville,0.5984,,489.0,,44749.0,,31000.0,31000.0,,,
109,Arkansas Technical School,North Little Rock,,,60.0,,,25284.0,,,,,
110,Arthur's Beauty College,Fort Smith,,,16.0,,,18702.0,,,,,
111,University of Arkansas,Fayetteville,0.7893,1167.0,26002.0,,24611.0,,9656.0,27410.0,,,
112,University of Arkansas at Pine Bluff,Pine Bluff,0.6933,878.0,2155.0,,19968.0,,8668.0,15838.0,,,
113,Arkansas State University-Beebe,Beebe,,,1829.0,,15851.0,,3024.0,4728.0,,,
114,Arkansas State University,Jonesboro,0.6951,1119.0,7463.0,,21176.0,,7456.0,13312.0,,,
115,Arkansas Tech University,Russellville,0.9439,1090.0,6108.0,,20919.0,,8071.0,13891.0,,,
116,University of Arkansas at Monticello,Monticello,,,1819.0,,19068.0,,8431.0,14281.0,,,
117,Arthur's Beauty College,Jacksonville,,,37.0,,,17357.0,,,,,
118,Baptist Health College Little Rock,Little Rock,0.8571,,549.0,,,,12938.0,12938.0,,,
119,Black River Technical College,Pocahontas,,,1003.0,,13691.0,,4440.0,6888.0,,,
120,University of Central Arkansas,Conway,0.9121,1118.0,7563.0,,23167.0,,9778.0,16728.0,,,
121,Central Baptist College,Conway,0.6394,1011.0,489.0,,28293.0,,17700.0,17700.0,,,
122,Cossatot Community College of the University of Arkansas,De Queen,,,833.0,,11376.0,,3620.0,4460.0,,,
123,Crowley's Ridge College,Paragould,,,171.0,,23894.0,,15000.0,15000.0,,,
124,East Arkansas Community College,Forrest City,,,519.0,,13976.0,,2910.0,3810.0,,,
125,Paul Mitchell the School-Little Rock,North Little Rock,,,358.0,,,25470.0,,,,,
126,National Park College,Hot Springs,,,1809.0,,13759.0,,5200.0,6880.0,,,
127,University of Arkansas Community College-Batesville,Batesville,,,694.0,,14375.0,,2766.0,3750.0,,,
128,Harding University,Searcy,0.4512,1182.0,3198.0,,34168.0,,23148.0,23148.0,,,
129,Henderson State University,Arkadelphia,0.7066,1019.0,1800.0,,26032.0,,7560.0,9768.0,,,
130,Hendrix College,Conway,0.6028,1246.0,1127.0,,49928.0,,35100.0,35100.0,,,
131,Hot Springs Beauty College,Hot Springs,,,90.0,,,19027.0,,,,,
132,Jefferson Regional School of Nursing,Pine Bluff,,,69.0,,,,,,,,
133,John Brown University,Siloam Springs,0.5664,1218.0,1354.0,,42128.0,,29720.0,29720.0,,,
134,Career Academy of Hair Design,Springdale,,,230.0,,,17759.0,,,,,
135,Academy of Salon and Spa,Fort Smith,,,67.0,,,17515.0,,,,,
136,Arkansas State University Mid-South,West Memphis,,,455.0,,15906.0,,2818.0,4258.0,,,
137,Arkansas Northeastern College,Blytheville,,,748.0,,10453.0,,2542.0,4222.0,,,
138,New Tyler Barber College Inc,North Little Rock,,,28.0,,,22234.0,,,,,
139,North Arkansas College,Harrison,,,1121.0,,13786.0,,2760.0,5136.0,,,
140,Northwest Technical Institute,Springdale,,,201.0,,11129.0,,5184.0,5184.0,,,
141,Ouachita Baptist University,Arkadelphia,0.7232,1180.0,1587.0,,43878.0,,31180.0,31180.0,,,
142,Arkansas State University Three Rivers,Malvern,,,446.0,,10370.0,,3356.0,5780.0,,,
143,Ozarka College,Melbourne,,,614.0,,11310.0,,3720.0,6723.0,,,
144,University of the Ozarks,Clarksville,0.6008,1087.0,767.0,,35272.0,,25950.0,25950.0,,,
145,University of Arkansas Community College-Morrilton,Morrilton,1.0,1020.0,1519.0,,12423.0,,3336.0,4128.0,,,
146,Philander Smith College,Little Rock,,,766.0,,25951.0,,13014.0,13014.0,,,
147,Phillips Community College of the University of Arkansas,Helena,,,616.0,,11244.0,,3110.0,5060.0,,,
148,Southeast Arkansas College,Pine Bluff,,,789.0,,11877.0,,4200.0,7200.0,,,
149,Professional Cosmetology Education Center,El Dorado,,,27.0,,,15121.0,,,,,
150,University of Arkansas-Pulaski Technical College,North Little Rock,,,3862.0,,18763.0,,5820.0,7050.0,,,
151,University of Arkansas Hope-Texarkana,Hope,,,704.0,,13564.0,,3250.0,4660.0,,,
152,University of Arkansas Community College Rich Mountain,Mena,,,441.0,,10771.0,,3384.0,3960.0,,,
153,Paul Mitchell the School-Arkansas,Fayetteville,,,109.0,,,15574.0,,,,,
154,Searcy Beauty College,Searcy,,,84.0,,,17636.0,,,,,
155,Shorter College,N Little Rock,,,321.0,,19724.0,,6246.0,6246.0,,,
156,Williams Baptist University,Walnut Ridge,0.5931,1050.0,556.0,,30718.0,,19450.0,19450.0,,,
157,South Arkansas Community College,El Dorado,,,893.0,,10774.0,,3012.0,5124.0,,,
158,Southern Arkansas University Main Campus,Magnolia,0.6361,1088.0,2787.0,,24242.0,,9680.0,15110.0,,,
159,Southern Arkansas University Tech,Camden,,,672.0,,15344.0,,4519.0,4519.0,,,
160,Velvatex College of Beauty Culture,Little Rock,,,14.0,,,14101.0,,,,,
161,University of Arkansas-Fort Smith,Fort Smith,,,4143.0,,17947.0,,6168.0,13440.0,,,
162,Academy of Art University,San Francisco,,,4485.0,,44484.0,,26728.0,26728.0,,,
163,Academy of Chinese Culture and Health Sciences,Oakland,,,,,,,,,,,
164,College of Alameda,Alameda,,,4236.0,,20277.0,,1148.0,8684.0,,,
165,Allan Hancock College,Santa Maria,,,7497.0,,10744.0,,1146.0,8994.0,,,
166,American Academy of Dramatic Arts-Los Angeles,Los Angeles,0.9011,,220.0,,52705.0,,38325.0,38325.0,,,
167,Berkeley School of Theology,Berkeley,,,19.0,,,,2896.0,2896.0,,,
168,American Film Institute Conservatory,Los Angeles,,,,,,,,,,,
169,American Beauty College,West Covina,,,234.0,,,30022.0,,,,,
170,American Career College-Los Angeles,Los Angeles,,,1969.0,,,32478.0,,,,,
171,American River College,Sacramento,,,24054.0,,12586.0,,1288.0,10768.0,,,
172,Antelope Valley Community College District,Lancaster,,,10191.0,,9507.0,,1124.0,7724.0,,,
173,Art Center College of Design,Pasadena,0.7097,,2113.0,,70276.0,,49942.0,49942.0,,,
174,Associated Technical College-Los Angeles,Los Angeles,,,202.0,,,27357.0,,,,,
175,Associated Technical College-San Diego,San Diego,,,94.0,,,27910.0,,,,,
176,Azusa Pacific University,Azusa,0.87,1132.0,3344.0,,54157.0,,42330.0,42330.0,,,
177,Bakersfield College,Bakersfield,,,18098.0,,13920.0,,1430.0,9560.0,,,
178,Barstow Community College,Barstow,,,2496.0,,17693.0,,1104.0,9072.0,,,
179,Bellus Academy-Chula Vista,Chula Vista,,,398.0,,,22842.0,,,,,
180,Bethesda University,Anaheim,,,181.0,,23846.0,,6560.0,6560.0,,,
181,Biola University,La Mirada,0.5663,1250.0,3474.0,,57785.0,,44382.0,44382.0,,,
182,Brownson Technical School,Anaheim,,,264.0,,,37283.0,,,,,
183,Bryan University,Tempe,,,1767.0,,23399.0,,12184.0,12184.0,,,
184,Butte College,Oroville,,,8676.0,,14811.0,,1336.0,7816.0,,,
185,California Institute of Integral Studies,San Francisco,,,87.0,,,,,,,,
186,Cabrillo College,Aptos,,,7275.0,,22496.0,,1262.0,8630.0,,,
187,California Baptist University,Riverside,0.7992,,8077.0,,49531.0,,38058.0,38058.0,,,
188,California College of the Arts,San Francisco,0.7569,,1134.0,,74618.0,,54706.0,54706.0,,,
189,University of California-Hastings College of Law,San Francisco,,,,,,,,,,,
190,California Institute of Technology,Pasadena,0.0269,,982.0,,79947.0,,60864.0,60864.0,,,
191,California Lutheran University,Thousand Oaks,0.8718,1258.0,2510.0,,60992.0,,48012.0,48012.0,,,
192,California Polytechnic State University-San Luis Obispo,San Luis Obispo,0.3043,,20976.0,,29680.0,,10319.0,28229.0,,,
193,Alliant International University-San Diego,San Diego,0.0,,274.0,,,,13680.0,13680.0,,,
194,California State University-Bakersfield,Bakersfield,0.8655,,8108.0,,18410.0,,7637.0,19517.0,,,
195,California State University-Stanislaus,Turlock,0.9661,,8836.0,,16968.0,,7734.0,19614.0,,,
196,California State University-San Bernardino,San Bernardino,0.9108,,16712.0,,18750.0,,7486.0,19366.0,,,
197,California State Polytechnic University-Pomona,Pomona,0.5538,,25080.0,,21655.0,,7439.0,19319.0,,,
198,California State University-Chico,Chico,0.95,,12853.0,,24766.0,,7972.0,19852.0,,,
199,California State University-Dominguez Hills,Carson,0.8913,,13903.0,,14958.0,,7060.0,18940.0,,,
200,California State University-Fresno,Fresno,0.9543,,20985.0,,17508.0,,6663.0,18543.0,,,
201,California State University-Fullerton,Fullerton,0.6672,,35249.0,,17337.0,,7007.0,18887.0,,,
202,California State University-East Bay,Hayward,0.962,,10709.0,,20693.0,,6995.0,18875.0,,,
203,California State University-Long Beach,Long Beach,0.3995,,32780.0,,18983.0,,6884.0,18764.0,,,
204,California State University-Los Angeles,Los Angeles,0.8694,,22690.0,,17010.0,,6805.0,18685.0,,,
205,California State University-Northridge,Northridge,0.9123,,32103.0,,19585.0,,7069.0,18949.0,,,
206,California State University-Sacramento,Sacramento,0.9321,,28544.0,,21396.0,,7484.0,19364.0,,,
207,University of California-Berkeley,Berkeley,0.1133,,32475.0,,41130.0,,14395.0,44467.0,,,
208,University of California-Davis,Davis,0.3734,,31512.0,,36975.0,,14858.0,44930.0,,,
209,University of California-Irvine,Irvine,0.2115,,28651.0,,34731.0,,13939.0,44011.0,,,
210,University of California-Los Angeles,Los Angeles,0.0857,,32423.0,,35689.0,,13401.0,43473.0,,,
211,University of California-Riverside,Riverside,0.6869,,22842.0,,34100.0,,13874.0,43946.0,,,
212,University of California-San Diego,La Jolla,0.2371,,33092.0,,35274.0,,14906.0,44978.0,,,
213,University of California-San Francisco,San Francisco,,,,,,,,,,,
214,University of California-Santa Barbara,Santa Barbara,0.2585,,23419.0,,36607.0,,14617.0,44689.0,,,
215,University of California-Santa Cruz,Santa Cruz,0.4692,,17502.0,,37707.0,,14240.0,44312.0,,,
216,Sofia University,Palo Alto,,,11.0,,,,,,,,
217,California Beauty School,Modesto,,,55.0,,,12683.0,,,,,
218,California Christian College,Fresno,1.0,,13.0,,,,10890.0,10890.0,,,
219,Haven University,Garden Grove,,,26.0,,,,7010.0,7010.0,,,
220,California Hair Design Academy,La Mesa,,,144.0,,,31123.0,,,,,
221,California Institute of the Arts,Valencia,0.2476,,931.0,,75865.0,,55056.0,55056.0,,,
222,California State University Maritime Academy,Vallejo,0.955,,808.0,,27186.0,,7116.0,18996.0,,,
223,California Western School of Law,San Diego,,,,,,,,,,,
224,Canada College,Redwood City,,,4271.0,,11335.0,,1362.0,9006.0,,,
225,College of the Canyons,Santa Clarita,,,15977.0,,11066.0,,1162.0,9322.0,,,
226,Career Academy of Beauty,Garden Grove,,,205.0,,,26177.0,,,,,
227,Casa Loma College-Los Angeles,Sherman Oaks,0.4,,415.0,,,20097.0,,,,,
228,CET-San Diego,San Diego,,,196.0,,,25418.0,,,,,
229,CET-San Jose,San Jose,,,183.0,,,21926.0,,,,,
230,CET-El Centro,El Centro,,,148.0,,,28071.0,,,,,
231,CET-Colton,Colton,,,96.0,,,22247.0,,,,,
232,CET-Watsonville,Watsonville,,,103.0,,,18656.0,,,,,
233,CET-Salinas,Salinas,,,157.0,,,20006.0,,,,,
234,Cerritos College,Norwalk,,,18001.0,,9184.0,,1364.0,10324.0,,,
235,Cerro Coso Community College,Ridgecrest,,,3439.0,,16120.0,,1384.0,9514.0,,,
236,Chabot College,Hayward,,,9750.0,,13831.0,,1150.0,8158.0,,,
237,Chaffey College,Rancho Cucamonga,,,15342.0,,18878.0,,1184.0,9392.0,,,
238,Chapman University,Orange,0.7252,1316.0,7665.0,,78549.0,,60672.0,60672.0,,,
239,Charles R Drew University of Medicine and Science,Los Angeles,0.8046,,238.0,,38874.0,,14954.0,14954.0,,,
240,Concordia University-Irvine,Irvine,0.6899,,1691.0,,54221.0,,40180.0,40180.0,,,
241,San Diego Christian College,Spring Valley,,,328.0,,50518.0,,26300.0,26300.0,,,
242,Church Divinity School of the Pacific,Berkeley,,,,,,,,,,,
243,Citrus College,Glendora,,,8139.0,,11309.0,,1198.0,9310.0,,,
244,Citrus Heights Beauty College,Citrus Heights,,,143.0,,,31642.0,,,,,
245,City College of San Francisco,San Francisco,,,14593.0,,15224.0,,1696.0,12244.0,,,
246,Claremont Graduate University,Claremont,,,,,,,,,,,
247,Claremont McKenna College,Claremont,0.1035,1514.0,1383.0,,78723.0,,60715.0,60715.0,,,
248,Milan Institute-Visalia,Visalia,,,489.0,,,26362.0,,,,,
249,Clovis Adult Education,Clovis,,,206.0,,,,,,,,
250,Coastline Community College,Fountain Valley,,,6671.0,,17546.0,,1174.0,8734.0,,,
251,University of Silicon Valley,San Jose,0.6466,,373.0,,36955.0,,22480.0,22480.0,,,
252,Coba Academy,Anaheim,,,111.0,,,19547.0,,,,,
253,Western University of Health Sciences,Pomona,,,,,,,,,,,
254,Columbia College,Sonora,,,1801.0,,16491.0,,1356.0,7308.0,,,
255,Columbia College Hollywood,Tarzana,,,291.0,,38107.0,,26175.0,26175.0,,,
256,Compton College,Compton,,,2497.0,,11125.0,,1142.0,8822.0,,,
257,Contra Costa College,San Pablo,,,4557.0,,13242.0,,1312.0,9012.0,,,
258,Cosumnes River College,Sacramento,,,12073.0,,11048.0,,1288.0,10768.0,,,
259,Crafton Hills College,Yucaipa,,,4312.0,,20594.0,,1182.0,9942.0,,,
260,Cuesta College,San Luis Obispo,,,7009.0,,17574.0,,1340.0,9348.0,,,
261,Cuyamaca College,El Cajon,,,6527.0,,12960.0,,1340.0,9852.0,,,
262,Cypress College,Cypress,,,11865.0,,13843.0,,1146.0,9090.0,,,
263,De Anza College,Cupertino,,,14294.0,,12852.0,,1562.0,11507.0,,,
264,International School of Beauty Inc,Palm Desert,,,186.0,,,25719.0,,,,,
265,Dell'Arte International School of Physical Theatre,Blue Lake,,,8.0,,,,17650.0,17650.0,,,
266,College of the Desert,Palm Desert,,,8664.0,,18541.0,,1326.0,9138.0,,,
267,Design Institute of San Diego,San Diego,1.0,,90.0,,36656.0,,27875.0,27875.0,,,
268,Dharma Realm Buddhist University,Ukiah,0.5455,,0.0,,,,21000.0,21000.0,,,
269,Diablo Valley College,Pleasant Hill,,,14387.0,,12949.0,,1312.0,9012.0,,,
270,Dominican University of California,San Rafael,0.9318,1192.0,1139.0,,67130.0,,49426.0,49426.0,,,
271,Dominican School of Philosophy & Theology,Berkeley,,,,,,,,,,,
272,East Los Angeles College,Monterey Park,,,23499.0,,19153.0,,1238.0,9870.0,,,
273,El Camino Community College District,Torrance,,,16352.0,,12067.0,,1144.0,7984.0,,,
274,Emperor's College of Traditional Oriental Medicine,Santa Monica,,,,,,,,,,,
275,Empire College,Santa Rosa,,,,,,,,,,,
276,Evergreen Valley College,San Jose,,,6741.0,,23471.0,,1366.0,8286.0,,,
277,FIDM-Fashion Institute of Design & Merchandising,Los Angeles,0.4171,,1780.0,,54330.0,,32645.0,32645.0,,,
278,Feather River Community College District,Quincy,,,1243.0,,15677.0,,1461.0,9531.0,,,
279,Federico Beauty Institute,Sacramento,,,293.0,,,31807.0,,,,,
280,Fielding Graduate University,Santa Barbara,,,,,,,,,,,
281,Five Branches University,Santa Cruz,,,,,,,,,,,
282,Redondo Beach Beauty College,Torrance,,,78.0,,,,,,,,
283,Foothill College,Los Altos Hills,,,10193.0,,15403.0,,1565.0,11510.0,,,
284,Franciscan School of Theology,San Diego,,,,,,,,,,,
285,Fredrick and Charles Beauty College,Eureka,,,72.0,,,17109.0,,,,,
286,Fresno City College,Fresno,,,18481.0,,11972.0,,1330.0,8890.0,,,
287,Fresno Pacific University,Fresno,0.75,,1743.0,,41576.0,,34188.0,34188.0,,,
288,Fuller Theological Seminary,Pasadena,,,,,,,,,,,
289,Fullerton College,Fullerton,,,16426.0,,15591.0,,1150.0,9538.0,,,
290,Gavilan College,Gilroy,,,3805.0,,13368.0,,1166.0,7238.0,,,
291,Gemological Institute of America-Carlsbad,Carlsbad,,,154.0,,,40820.0,,,,,
292,Glendale Community College,Glendale,,,9350.0,,14536.0,,1171.0,8371.0,,,
293,Glendale Career College,Glendale,,,661.0,,,47032.0,,,,,
294,Golden Gate University,San Francisco,,,601.0,,,,,,,,
295,Golden West College,Huntington Beach,,,8728.0,,11422.0,,1190.0,9854.0,,,
296,Graduate Theological Union,Berkeley,,,,,,,,,,,
297,Grossmont College,El Cajon,,,10994.0,,11522.0,,1332.0,9844.0,,,
298,Salon Success Academy-Riverside,Riverside,,,171.0,,,19772.0,,,,,
299,Hartnell College,Salinas,,,7600.0,,11638.0,,1404.0,8994.0,,,
300,Harvey Mudd College,Claremont,0.1336,1539.0,906.0,,82236.0,,62817.0,62817.0,,,
301,Hilltop Beauty School,Daly City,,,102.0,,,24296.0,,,,,
302,Holy Names University,Oakland,1.0,,564.0,,55459.0,,42115.0,42115.0,,,
303,Pacifica Graduate Institute,Carpinteria,,,,,,,,,,,
304,California State Polytechnic University-Humboldt,Arcata,0.9818,,5373.0,,24202.0,,7864.0,19744.0,,,
305,Humphreys University-Stockton and Modesto Campuses,Stockton,,,158.0,,28850.0,,14760.0,14760.0,,,
306,Imperial Valley College,Imperial,,,6952.0,,11958.0,,1126.0,6646.0,,,
307,Institute for Business and Technology,Santa Clara,,,614.0,,,30969.0,,,,,
308,Interior Designers Institute,Newport Beach,,,96.0,,35958.0,,20250.0,20250.0,,,
309,International School of Cosmetology,Los Angeles,,,116.0,,,34266.0,,,,,
310,Irvine Valley College,Irvine,,,8398.0,,12297.0,,1150.0,9814.0,,,
311,Bellus Academy-El Cajon,El Cajon,,,187.0,,,22841.0,,,,,
312,American Jewish University,Los Angeles,,,15.0,,,,,,,,
313,Reedley College,Reedley,,,4897.0,,11996.0,,1330.0,8890.0,,,
314,Life Pacific University,San Dimas,0.9448,,395.0,,32241.0,,19140.0,19140.0,,,
315,University of La Verne,La Verne,0.7351,1116.0,3363.0,,59394.0,,47000.0,47000.0,,,
316,Laguna College of Art and Design,Laguna Beach,0.8837,,729.0,,54255.0,,34600.0,34600.0,,,
